"millis,stamp,datetime,motion,,,,"
"998,1343096664, 2012/7/24 2:24:24, Active,41114,0.100277778,0.037777778,7/24/2012 0:54"
"1999,1343096665, 2012/7/24 2:24:25, Active,41114,0.100289352,0.037789352,7/24/2012 0:54"
"2999,1343096666, 2012/7/24 2:24:26, Active,41114,0.100300926,0.037800926,7/24/2012 0:54"
"3999,1343096667, 2012/7/24 2:24:27, Active,41114,0.1003125,0.0378125,7/24/2012 0:54"
"4999,1343096668, 2012/7/24 2:24:28, Active,41114,0.100324074,0.037824074,7/24/2012 0:54"
"5999,1343096669, 2012/7/24 2:24:29, Active,41114,0.100335648,0.037835648,7/24/2012 0:54"
"7000,1343096670, 2012/7/24 2:24:30, Active,41114,0.100347222,0.037847222,7/24/2012 0:54"
"7999,1343096671, 2012/7/24 2:24:31, Active,41114,0.100358796,0.037858796,7/24/2012 0:54"
"8999,1343096672, 2012/7/24 2:24:32, Active,41114,0.10037037,0.03787037,7/24/2012 0:54"
"9999,1343096673, 2012/7/24 2:24:33, Active,41114,0.100381944,0.037881944,7/24/2012 0:54"
"10999,1343096674, 2012/7/24 2:24:34, Active,41114,0.100393519,0.037893519,7/24/2012 0:54"
"11999,1343096675, 2012/7/24 2:24:35, Active,41114,0.100405093,0.037905093,7/24/2012 0:54"
"12999,1343096676, 2012/7/24 2:24:36, Active,41114,0.100416667,0.037916667,7/24/2012 0:54"
"13999,1343096677, 2012/7/24 2:24:37, Active,41114,0.100428241,0.037928241,7/24/2012 0:54"
"14999,1343096678, 2012/7/24 2:24:38, Active,41114,0.100439815,0.037939815,7/24/2012 0:54"
"16000,1343096679, 2012/7/24 2:24:39, Active,41114,0.100451389,0.037951389,7/24/2012 0:54"
"16999,1343096680, 2012/7/24 2:24:40, Active,41114,0.100462963,0.037962963,7/24/2012 0:54"
"17998,1343096681, 2012/7/24 2:24:41, Active,41114,0.100474537,0.037974537,7/24/2012 0:54"
"18999,1343096682, 2012/7/24 2:24:42, Active,41114,0.100486111,0.037986111,7/24/2012 0:54"
"19999,1343096683, 2012/7/24 2:24:43, Active,41114,0.100497685,0.037997685,7/24/2012 0:54"
"20999,1343096684, 2012/7/24 2:24:44, Active,41114,0.100509259,0.038009259,7/24/2012 0:54"
"21999,1343096685, 2012/7/24 2:24:45, Active,41114,0.100520833,0.038020833,7/24/2012 0:54"
"22999,1343096686, 2012/7/24 2:24:46, Active,41114,0.100532407,0.038032407,7/24/2012 0:54"
"23999,1343096687, 2012/7/24 2:24:47, Active,41114,0.100543981,0.038043981,7/24/2012 0:54"
"24999,1343096688, 2012/7/24 2:24:48, Inactive,41114,0.100555556,0.038055556,7/24/2012 0:54"
"25999,1343096689, 2012/7/24 2:24:49, Inactive,41114,0.10056713,0.03806713,7/24/2012 0:54"
"26999,1343096690, 2012/7/24 2:24:50, Inactive,41114,0.100578704,0.038078704,7/24/2012 0:54"
"27999,1343096691, 2012/7/24 2:24:51, Inactive,41114,0.100590278,0.038090278,7/24/2012 0:54"
"28999,1343096692, 2012/7/24 2:24:52, Inactive,41114,0.100601852,0.038101852,7/24/2012 0:54"
"29999,1343096693, 2012/7/24 2:24:53, Inactive,41114,0.100613426,0.038113426,7/24/2012 0:54"
"30999,1343096694, 2012/7/24 2:24:54, Inactive,41114,0.100625,0.038125,7/24/2012 0:54"
"32000,1343096695, 2012/7/24 2:24:55, Inactive,41114,0.100636574,0.038136574,7/24/2012 0:54"
